"Date","Weekday","Morning Shift","Evening Shift","Night Shift","Off / Leave"
"2026-06-01","Monday","Aarav Mehta, Sahil Gupta, Ritika Jain","Arjun Rao, Rahul Sethi, Nikhil Arora, Meera Menon","Rohan Singh, Sneha Patel, Kabir Nair, Priya Sharma","Isha Verma, Neha Kapoor, Diya Bansal"
"2026-06-02","Tuesday","Isha Verma, Sahil Gupta, Ritika Jain","Neha Kapoor, Rahul Sethi, Diya Bansal","Sneha Patel, Kabir Nair, Priya Sharma","Aarav Mehta, Rohan Singh, Arjun Rao, Nikhil Arora, Meera Menon"
"2026-06-03","Wednesday","Isha Verma, Sahil Gupta, Ritika Jain","Neha Kapoor, Rahul Sethi, Diya Bansal","Sneha Patel, Kabir Nair, Priya Sharma","Aarav Mehta, Rohan Singh, Arjun Rao, Nikhil Arora, Meera Menon"
"2026-06-04","Thursday","Aarav Mehta, Isha Verma, Ritika Jain","Arjun Rao, Neha Kapoor, Diya Bansal, Nikhil Arora, Meera Menon","Rohan Singh, Sneha Patel, Priya Sharma","Kabir Nair, Rahul Sethi, Sahil Gupta"
"2026-06-05","Friday","Aarav Mehta, Isha Verma, Ritika Jain","Arjun Rao, Neha Kapoor, Diya Bansal, Nikhil Arora, Meera Menon","Rohan Singh, Sneha Patel, Priya Sharma","Kabir Nair, Rahul Sethi, Sahil Gupta"
"2026-06-06","Saturday","Aarav Mehta, Isha Verma, Sahil Gupta","Arjun Rao, Neha Kapoor, Rahul Sethi, Diya Bansal, Nikhil Arora, Meera Menon","Rohan Singh, Kabir Nair","Sneha Patel, Priya Sharma, Ritika Jain"
"2026-06-07","Sunday","Aarav Mehta, Sahil Gupta","Arjun Rao, Rahul Sethi, Nikhil Arora, Meera Menon","Rohan Singh, Kabir Nair","Isha Verma, Sneha Patel, Priya Sharma, Neha Kapoor, Diya Bansal, Ritika Jain"
"2026-06-08","Monday","Aarav Mehta, Sahil Gupta, Ritika Jain","Arjun Rao, Rahul Sethi, Nikhil Arora, Meera Menon","Rohan Singh, Sneha Patel, Kabir Nair, Priya Sharma","Isha Verma, Neha Kapoor, Diya Bansal"
"2026-06-09","Tuesday","Isha Verma, Sahil Gupta, Ritika Jain","Neha Kapoor, Rahul Sethi, Diya Bansal","Sneha Patel, Kabir Nair, Priya Sharma","Aarav Mehta, Rohan Singh, Arjun Rao, Nikhil Arora, Meera Menon"
"2026-06-10","Wednesday","Isha Verma, Sahil Gupta, Ritika Jain","Neha Kapoor, Rahul Sethi, Diya Bansal","Sneha Patel, Kabir Nair, Priya Sharma","Aarav Mehta, Rohan Singh, Arjun Rao, Nikhil Arora, Meera Menon"
